Test set Size =          52;	Fault Coverage : 0.874883 
Test set Size =          53;	Fault Coverage : 0.874883 
Test set Size =          54;	Fault Coverage : 0.874883 
Test set Size =          55;	Fault Coverage : 0.874883 
Test set Size =          56;	Fault Coverage : 0.874883 
Test set Size =          57;	Fault Coverage : 0.874883 
Test set Size =          58;	Fault Coverage : 0.877689 
Test set Size =          59;	Fault Coverage : 0.884004 
Test set Size =          60;	Fault Coverage : 0.887044 
Test set Size =          61;	Fault Coverage : 0.892189 
Test set Size =          62;	Fault Coverage : 0.899673 
Test set Size =          63;	Fault Coverage : 0.899673 
Test set Size =          64;	Fault Coverage : 0.899673 
Test set Size =          65;	Fault Coverage : 0.903181 
Test set Size =          66;	Fault Coverage : 0.903181 
Test set Size =          67;	Fault Coverage : 0.903181 
Test set Size =          68;	Fault Coverage : 0.903181 
Test set Size =          69;	Fault Coverage : 0.907390 
Test set Size =          70;	Fault Coverage : 0.907390 
Test set Size =          71;	Fault Coverage : 0.907390 
Test set Size =          72;	Fault Coverage : 0.907390 
Test set Size =          73;	Fault Coverage : 0.907390 
Test set Size =          74;	Fault Coverage : 0.907390 
Test set Size =          75;	Fault Coverage : 0.907390 
Test set Size =          76;	Fault Coverage : 0.908793 
Test set Size =          77;	Fault Coverage : 0.911366 
Test set Size =          78;	Fault Coverage : 0.911833 
Test set Size =          79;	Fault Coverage : 0.911833 
Test set Size =          80;	Fault Coverage : 0.911833 
Test set Size =          81;	Fault Coverage : 0.912301 
Test set Size =          82;	Fault Coverage : 0.912301 
Test set Size =          83;	Fault Coverage : 0.912301 
Test set Size =          84;	Fault Coverage : 0.912301 
Test set Size =          85;	Fault Coverage : 0.912301 
Test set Size =          86;	Fault Coverage : 0.913003 
Test set Size =          87;	Fault Coverage : 0.913471 
Test set Size =          88;	Fault Coverage : 0.913471 
Test set Size =          89;	Fault Coverage : 0.913471 
Test set Size =          90;	Fault Coverage : 0.913471 
Test set Size =          91;	Fault Coverage : 0.913471 
Test set Size =          92;	Fault Coverage : 0.913471 
Test set Size =          93;	Fault Coverage : 0.913471 
Test set Size =          94;	Fault Coverage : 0.913471 
Test set Size =          95;	Fault Coverage : 0.913471 
Test set Size =          96;	Fault Coverage : 0.913938 
Test set Size =          97;	Fault Coverage : 0.913938 
Test set Size =          98;	Fault Coverage : 0.913938 
Test set Size =          99;	Fault Coverage : 0.913938 
Test set Size =         100;	Fault Coverage : 0.913938 
Test set Size =         101;	Fault Coverage : 0.913938 
Test set Size =         102;	Fault Coverage : 0.914406 
Test set Size =         103;	Fault Coverage : 0.914406 
Test set Size =         104;	Fault Coverage : 0.914406 
Test set Size =         105;	Fault Coverage : 0.914406 
Test set Size =         106;	Fault Coverage : 0.914406 
Test set Size =         107;	Fault Coverage : 0.914406 
Test set Size =         108;	Fault Coverage : 0.915809 
Test set Size =         109;	Fault Coverage : 0.915809 
Test set Size =         110;	Fault Coverage : 0.915809 
Test set Size =         111;	Fault Coverage : 0.917914 
Test set Size =         112;	Fault Coverage : 0.922357 
Test set Size =         113;	Fault Coverage : 0.922357 
Test set Size =         114;	Fault Coverage : 0.922357 
Test set Size =         115;	Fault Coverage : 0.924462 
Test set Size =         116;	Fault Coverage : 0.924930 
Test set Size =         117;	Fault Coverage : 0.924930 
Test set Size =         118;	Fault Coverage : 0.924930 
Test set Size =         119;	Fault Coverage : 0.926099 
Test set Size =         120;	Fault Coverage : 0.927502 
Test set Size =         121;	Fault Coverage : 0.927502 
Test set Size =         122;	Fault Coverage : 0.927502 
Test set Size =         123;	Fault Coverage : 0.927502 
Test set Size =         124;	Fault Coverage : 0.927502 
Test set Size =         125;	Fault Coverage : 0.927502 
Test set Size =         126;	Fault Coverage : 0.927502 
Test set Size =         127;	Fault Coverage : 0.927502 
Test set Size =         128;	Fault Coverage : 0.927502 
Test set Size =         129;	Fault Coverage : 0.927502 
Test set Size =         130;	Fault Coverage : 0.927502 
Test set Size =         131;	Fault Coverage : 0.927502 
Test set Size =         132;	Fault Coverage : 0.927502 
Test set Size =         133;	Fault Coverage : 0.927502 
Test set Size =         134;	Fault Coverage : 0.927502 
Test set Size =         135;	Fault Coverage : 0.927502 
Test set Size =         136;	Fault Coverage : 0.927502 
Test set Size =         137;	Fault Coverage : 0.927502 
Test set Size =         138;	Fault Coverage : 0.927502 
Test set Size =         139;	Fault Coverage : 0.927502 
Test set Size =         140;	Fault Coverage : 0.927502 
Test set Size =         141;	Fault Coverage : 0.927502 
Test set Size =         142;	Fault Coverage : 0.927502 
Test set Size =         143;	Fault Coverage : 0.927502 
Test set Size =         144;	Fault Coverage : 0.927502 
Test set Size =         145;	Fault Coverage : 0.929841 
Test set Size =         146;	Fault Coverage : 0.929841 
Test set Size =         147;	Fault Coverage : 0.929841 
Test set Size =         148;	Fault Coverage : 0.929841 
Test set Size =         149;	Fault Coverage : 0.929841 
Test set Size =         150;	Fault Coverage : 0.929841 
Test set Size =         151;	Fault Coverage : 0.929841 
Test set Size =         152;	Fault Coverage : 0.929841 
Test set Size =         153;	Fault Coverage : 0.929841 
Test set Size =         154;	Fault Coverage : 0.929841 
Test set Size =         155;	Fault Coverage : 0.929841 
Test set Size =         156;	Fault Coverage : 0.929841 
Test set Size =         157;	Fault Coverage : 0.929841 
Test set Size =         158;	Fault Coverage : 0.929841 
Test set Size =         159;	Fault Coverage : 0.929841 
Test set Size =         160;	Fault Coverage : 0.929841 
Test set Size =         161;	Fault Coverage : 0.929841 
Test set Size =         162;	Fault Coverage : 0.929841 
Test set Size =         163;	Fault Coverage : 0.929841 
Test set Size =         164;	Fault Coverage : 0.929841 
Test set Size =         165;	Fault Coverage : 0.929841 
Test set Size =         166;	Fault Coverage : 0.929841 
Test set Size =         167;	Fault Coverage : 0.929841 
Test set Size =         168;	Fault Coverage : 0.929841 
Test set Size =         169;	Fault Coverage : 0.929841 
Test set Size =         170;	Fault Coverage : 0.929841 
Test set Size =         171;	Fault Coverage : 0.929841 
Test set Size =         172;	Fault Coverage : 0.929841 
Test set Size =         173;	Fault Coverage : 0.929841 
Test set Size =         174;	Fault Coverage : 0.929841 
Test set Size =         175;	Fault Coverage : 0.929841 
Test set Size =         176;	Fault Coverage : 0.929841 
Test set Size =         177;	Fault Coverage : 0.929841 
Test set Size =         178;	Fault Coverage : 0.929841 
Test set Size =         179;	Fault Coverage : 0.929841 
Test set Size =         180;	Fault Coverage : 0.929841 
Test set Size =         181;	Fault Coverage : 0.929841 
Test set Size =         182;	Fault Coverage : 0.929841 
Test set Size =         183;	Fault Coverage : 0.929841 
Test set Size =         184;	Fault Coverage : 0.929841 
Test set Size =         185;	Fault Coverage : 0.929841 
Test set Size =         186;	Fault Coverage : 0.929841 
Test set Size =         187;	Fault Coverage : 0.929841 
Test set Size =         188;	Fault Coverage : 0.929841 
Test set Size =         189;	Fault Coverage : 0.929841 
Test set Size =         190;	Fault Coverage : 0.929841 
Test set Size =         191;	Fault Coverage : 0.929841 
Test set Size =         192;	Fault Coverage : 0.929841 
Test set Size =         193;	Fault Coverage : 0.929841 
Test set Size =         194;	Fault Coverage : 0.929841 
Test set Size =         195;	Fault Coverage : 0.929841 
Test set Size =         196;	Fault Coverage : 0.929841 
Test set Size =         197;	Fault Coverage : 0.929841 
Test set Size =         198;	Fault Coverage : 0.929841 
Test set Size =         199;	Fault Coverage : 0.929841 
Test set Size =         200;	Fault Coverage : 0.929841 
Test set Size =         201;	Fault Coverage : 0.929841 
Test set Size =         202;	Fault Coverage : 0.929841 
Test set Size =         203;	Fault Coverage : 0.929841 
Test set Size =         204;	Fault Coverage : 0.929841 
Test set Size =         205;	Fault Coverage : 0.929841 
Test set Size =         206;	Fault Coverage : 0.929841 
Test set Size =         207;	Fault Coverage : 0.931244 
Test set Size =         208;	Fault Coverage : 0.931244 
Test set Size =         209;	Fault Coverage : 0.931712 
Test set Size =         210;	Fault Coverage : 0.932180 
Test set Size =         211;	Fault Coverage : 0.932180 
Test set Size =         212;	Fault Coverage : 0.932180 
Test set Size =         213;	Fault Coverage : 0.932647 
Test set Size =         214;	Fault Coverage : 0.932647 
Test set Size =         215;	Fault Coverage : 0.932647 
Test set Size =         216;	Fault Coverage : 0.932647 
Test set Size =         217;	Fault Coverage : 0.932647 
Test set Size =         218;	Fault Coverage : 0.932647 
Test set Size =         219;	Fault Coverage : 0.932647 
Test set Size =         220;	Fault Coverage : 0.932647 
Test set Size =         221;	Fault Coverage : 0.932647 
Test set Size =         222;	Fault Coverage : 0.932647 
Test set Size =         223;	Fault Coverage : 0.932647 
Test set Size =         224;	Fault Coverage : 0.932647 
Test set Size =         225;	Fault Coverage : 0.932647 
Test set Size =         226;	Fault Coverage : 0.932647 
Test set Size =         227;	Fault Coverage : 0.932647 
Test set Size =         228;	Fault Coverage : 0.932647 
Test set Size =         229;	Fault Coverage : 0.932647 
Test set Size =         230;	Fault Coverage : 0.932647 
Test set Size =         231;	Fault Coverage : 0.932647 
Test set Size =         232;	Fault Coverage : 0.932647 
Test set Size =         233;	Fault Coverage : 0.932647 
Test set Size =         234;	Fault Coverage : 0.932647 
Test set Size =         235;	Fault Coverage : 0.932647 
Test set Size =         236;	Fault Coverage : 0.932647 
Test set Size =         237;	Fault Coverage : 0.932647 
Test set Size =         238;	Fault Coverage : 0.932647 
Test set Size =         239;	Fault Coverage : 0.932647 
Test set Size =         240;	Fault Coverage : 0.932647 
Test set Size =         241;	Fault Coverage : 0.932647 
Test set Size =         242;	Fault Coverage : 0.932647 
Test set Size =         243;	Fault Coverage : 0.932647 
Test set Size =         244;	Fault Coverage : 0.932647 
Test set Size =         245;	Fault Coverage : 0.932647 
Test set Size =         246;	Fault Coverage : 0.932647 
Test set Size =         247;	Fault Coverage : 0.932647 
Test set Size =         248;	Fault Coverage : 0.932647 
Test set Size =         249;	Fault Coverage : 0.932647 
Test set Size =         250;	Fault Coverage : 0.932647 
Test set Size =         251;	Fault Coverage : 0.932647 
Test set Size =         252;	Fault Coverage : 0.932647 
Test set Size =         253;	Fault Coverage : 0.933583 
Test set Size =         254;	Fault Coverage : 0.933583 
Test set Size =         255;	Fault Coverage : 0.937091 
Test set Size =         256;	Fault Coverage : 0.937091 
Test set Size =         257;	Fault Coverage : 0.937091 
Test set Size =         258;	Fault Coverage : 0.937091 
Test set Size =         259;	Fault Coverage : 0.937091 
Test set Size =         260;	Fault Coverage : 0.937091 
Test set Size =         261;	Fault Coverage : 0.937091 
Test set Size =         262;	Fault Coverage : 0.937091 
Test set Size =         263;	Fault Coverage : 0.937091 
Test set Size =         264;	Fault Coverage : 0.938494 
Test set Size =         265;	Fault Coverage : 0.938494 
Test set Size =         266;	Fault Coverage : 0.938494 
Test set Size =         267;	Fault Coverage : 0.940131 
Test set Size =         268;	Fault Coverage : 0.940131 
Test set Size =         269;	Fault Coverage : 0.940131 
Test set Size =         270;	Fault Coverage : 0.940131 
Test set Size =         271;	Fault Coverage : 0.940131 
Test set Size =         272;	Fault Coverage : 0.940131 
Test set Size =         273;	Fault Coverage : 0.940131 
Test set Size =         274;	Fault Coverage : 0.940131 
Test set Size =         275;	Fault Coverage : 0.940131 
Test set Size =         276;	Fault Coverage : 0.940131 
Test set Size =         277;	Fault Coverage : 0.940131 
Test set Size =         278;	Fault Coverage : 0.940131 
Test set Size =         279;	Fault Coverage : 0.940131 
