Test set Size =           1;	Fault Coverage : 0.466667 
Test set Size =           2;	Fault Coverage : 0.800000 
Test set Size =           3;	Fault Coverage : 0.800000 
Test set Size =           4;	Fault Coverage : 0.933333 
Test set Size =           5;	Fault Coverage : 1.000000 
Test set Size =           6;	Fault Coverage : 1.000000 
Test set Size =           7;	Fault Coverage : 1.000000 
Test set Size =           8;	Fault Coverage : 1.000000 
Test set Size =           9;	Fault Coverage : 1.000000 
Test set Size =          10;	Fault Coverage : 1.000000 
Test set Size =          11;	Fault Coverage : 1.000000 
Test set Size =          12;	Fault Coverage : 1.000000 
Test set Size =          13;	Fault Coverage : 1.000000 
Test set Size =          14;	Fault Coverage : 1.000000 
Test set Size =          15;	Fault Coverage : 1.000000 
Test set Size =          16;	Fault Coverage : 1.000000 
Test set Size =          17;	Fault Coverage : 1.000000 
Test set Size =          18;	Fault Coverage : 1.000000 
Test set Size =          19;	Fault Coverage : 1.000000 
Test set Size =          20;	Fault Coverage : 1.000000 
Test set Size =          21;	Fault Coverage : 1.000000 
Test set Size =          22;	Fault Coverage : 1.000000 
Test set Size =          23;	Fault Coverage : 1.000000 
Test set Size =          24;	Fault Coverage : 1.000000 
Test set Size =          25;	Fault Coverage : 1.000000 
Test set Size =          26;	Fault Coverage : 1.000000 
Test set Size =          27;	Fault Coverage : 1.000000 
Test set Size =          28;	Fault Coverage : 1.000000 
Test set Size =          29;	Fault Coverage : 1.000000 
Test set Size =          30;	Fault Coverage : 1.000000 
Test set Size =          31;	Fault Coverage : 1.000000 
Test set Size =          32;	Fault Coverage : 1.000000 
Test set Size =          33;	Fault Coverage : 1.000000 
Test set Size =          34;	Fault Coverage : 1.000000 
Test set Size =          35;	Fault Coverage : 1.000000 
Test set Size =          36;	Fault Coverage : 1.000000 
Test set Size =          37;	Fault Coverage : 1.000000 
Test set Size =          38;	Fault Coverage : 1.000000 
Test set Size =          39;	Fault Coverage : 1.000000 
Test set Size =          40;	Fault Coverage : 1.000000 
Simulation Time:                  450 
