numOfTV,FLT_Coverage,GIC_Coverage
0,0,0
10,0.690968,0.955789
20,0.82645,0.983158
30,0.90129,0.991679
40,0.928378,0.994737
50,0.932903,0.995789
60,0.939355,0.995789
70,0.951613,1
80,0.95677,1
