Test set Size =           1;	Fault Coverage : 0.331862 
Test set Size =           2;	Fault Coverage : 0.445024 
Test set Size =           3;	Fault Coverage : 0.477127 
Test set Size =           4;	Fault Coverage : 0.485955 
Test set Size =           5;	Fault Coverage : 0.500000 
Test set Size =           6;	Fault Coverage : 0.519262 
Test set Size =           7;	Fault Coverage : 0.519262 
Test set Size =           8;	Fault Coverage : 0.524077 
Test set Size =           9;	Fault Coverage : 0.545345 
Test set Size =          10;	Fault Coverage : 0.550562 
Test set Size =          11;	Fault Coverage : 0.556581 
Test set Size =          12;	Fault Coverage : 0.557384 
Test set Size =          13;	Fault Coverage : 0.560995 
Test set Size =          14;	Fault Coverage : 0.561798 
Test set Size =          15;	Fault Coverage : 0.561798 
Test set Size =          16;	Fault Coverage : 0.563403 
Test set Size =          17;	Fault Coverage : 0.569021 
Test set Size =          18;	Fault Coverage : 0.569021 
Test set Size =          19;	Fault Coverage : 0.569021 
Test set Size =          20;	Fault Coverage : 0.569021 
Test set Size =          21;	Fault Coverage : 0.569021 
Test set Size =          22;	Fault Coverage : 0.569021 
Test set Size =          23;	Fault Coverage : 0.569021 
Test set Size =          24;	Fault Coverage : 0.569021 
Test set Size =          25;	Fault Coverage : 0.569021 
Test set Size =          26;	Fault Coverage : 0.569021 
Test set Size =          27;	Fault Coverage : 0.569021 
Test set Size =          28;	Fault Coverage : 0.569021 
Test set Size =          29;	Fault Coverage : 0.569021 
Test set Size =          30;	Fault Coverage : 0.569021 
Test set Size =          31;	Fault Coverage : 0.569021 
Test set Size =          32;	Fault Coverage : 0.569021 
Test set Size =          33;	Fault Coverage : 0.569021 
Test set Size =          34;	Fault Coverage : 0.569823 
Test set Size =          35;	Fault Coverage : 0.569823 
Test set Size =          36;	Fault Coverage : 0.569823 
Test set Size =          37;	Fault Coverage : 0.569823 
Test set Size =          38;	Fault Coverage : 0.569823 
Test set Size =          39;	Fault Coverage : 0.569823 
Test set Size =          40;	Fault Coverage : 0.569823 
Test set Size =          41;	Fault Coverage : 0.569823 
Test set Size =          42;	Fault Coverage : 0.569823 
Test set Size =          43;	Fault Coverage : 0.569823 
Test set Size =          44;	Fault Coverage : 0.569823 
Test set Size =          45;	Fault Coverage : 0.569823 
Test set Size =          46;	Fault Coverage : 0.569823 
Test set Size =          47;	Fault Coverage : 0.569823 
Test set Size =          48;	Fault Coverage : 0.569823 
Test set Size =          49;	Fault Coverage : 0.569823 
Test set Size =          50;	Fault Coverage : 0.569823 
Test set Size =          51;	Fault Coverage : 0.569823 
Test set Size =          52;	Fault Coverage : 0.569823 
Test set Size =          53;	Fault Coverage : 0.569823 
Test set Size =          54;	Fault Coverage : 0.569823 
Test set Size =          55;	Fault Coverage : 0.569823 
Test set Size =          56;	Fault Coverage : 0.569823 
Test set Size =          57;	Fault Coverage : 0.569823 
Test set Size =          58;	Fault Coverage : 0.569823 
Test set Size =          59;	Fault Coverage : 0.569823 
Test set Size =          60;	Fault Coverage : 0.569823 
Test set Size =          61;	Fault Coverage : 0.569823 
Test set Size =          62;	Fault Coverage : 0.569823 
Test set Size =          63;	Fault Coverage : 0.569823 
Test set Size =          64;	Fault Coverage : 0.569823 
Test set Size =          65;	Fault Coverage : 0.569823 
Test set Size =          66;	Fault Coverage : 0.569823 
Test set Size =          67;	Fault Coverage : 0.569823 
Test set Size =          68;	Fault Coverage : 0.569823 
