numOfTV,GIC_Coverage,FLT_Coverage,
0,0,0
1,0.27277,0.136805
2,0.531925,0.320683
3,0.583568,0.333628
4,0.620188,0.4416
5,0.687793,0.520447
6,0.720657,0.558694
7,0.782629,0.588114
8,0.796244,0.593998
9,0.815962,0.619594
10,0.821596,0.623713
11,0.826291,0.632245
12,0.830516,0.633127
13,0.833803,0.641365
14,0.837559,0.645778
15,0.838028,0.649014
16,0.842254,0.655193
17,0.842723,0.655781
18,0.846479,0.657252
19,0.846948,0.661077
20,0.847418,0.667843
21,0.847887,0.669903
22,0.847887,0.675199
23,0.847887,0.675199
24,0.848826,0.67667
25,0.877934,0.728744
26,0.877934,0.73198
27,0.878873,0.73198
28,0.879343,0.73198
29,0.879812,0.73198
30,0.880282,0.73198
31,0.887793,0.752868
32,0.888732,0.752868
33,0.889202,0.752868
34,0.889202,0.752868
35,0.889671,0
36,0.889671,0
37,0.889671,0
38,0.889671,0
39,0.889671,0
40,0.889671,0
41,0.889671,0
42,0.889671,0
43,0.889671,0
44,0.889671,0
45,0.890141,0
46,0.89061,0
47,0.89061,0
48,0.89061,0
49,0.89061,0
50,0.89061,0
51,0.89061,0
52,0.89061,0
53,0.89061,0
54,0.893897,0
55,0.893897,0
56,0.893897,0
57,0.896244,0
58,0.902817,0
59,0.902817,0
60,0.902817,0
61,0.902817,0
62,0.902817,0
63,0.902817,0
64,0.902817,0
65,0.902817,0
66,0.902817,0
67,0.902817,0
68,0.902817,0
69,0.902817,0
70,0.902817,0
71,0.902817,0
72,0.902817,0
73,0.902817,0
74,0.902817,0
75,0.902817,0
76,0.902817,0
77,0.902817,0
78,0.902817,0
79,0.902817,0
80,0.902817,0
81,0.902817,0
82,0.902817,0
83,0.902817,0
84,0.902817,0
85,0.90939,0
86,0.90939,0
87,0.90939,0
88,0.90939,0
89,0.90939,0
90,0.913615,0
91,0.913615,0
92,0.913615,0
93,0.917371,0
94,0.91784,0
95,0.91784,0
96,0.91784,0
97,0.91784,0
98,0.91784,0
99,0.91784,0
100,0.91784,0
101,0.91784,0
102,0.924883,0
103,0.924883,0
104,0.925822,0
105,0.925822,0
106,0.925822,0
107,0.925822,0
108,0.932864,0
109,0.932864,0
110,0.932864,0
111,0.932864,0
112,0.932864,0
113,0.933803,0
114,0.933803,0
115,0.933803,0
116,0.933803,0
117,0.933803,0
118,0.933803,0
119,0.933803,0
