Test set Size =           1;	Fault Coverage : 0.214580 
Test set Size =           2;	Fault Coverage : 0.257909 
Test set Size =           3;	Fault Coverage : 0.260660 
Test set Size =           4;	Fault Coverage : 0.286107 
Test set Size =           5;	Fault Coverage : 0.292985 
Test set Size =           6;	Fault Coverage : 0.300550 
Test set Size =           7;	Fault Coverage : 0.302613 
Test set Size =           8;	Fault Coverage : 0.305365 
Test set Size =           9;	Fault Coverage : 0.308116 
Test set Size =          10;	Fault Coverage : 0.310179 
Test set Size =          11;	Fault Coverage : 0.311554 
Test set Size =          12;	Fault Coverage : 0.311554 
Test set Size =          13;	Fault Coverage : 0.324622 
Test set Size =          14;	Fault Coverage : 0.324622 
Test set Size =          15;	Fault Coverage : 0.324622 
Test set Size =          16;	Fault Coverage : 0.324622 
Test set Size =          17;	Fault Coverage : 0.324622 
Test set Size =          18;	Fault Coverage : 0.324622 
Test set Size =          19;	Fault Coverage : 0.324622 
Test set Size =          20;	Fault Coverage : 0.324622 
Test set Size =          21;	Fault Coverage : 0.324622 
Test set Size =          22;	Fault Coverage : 0.324622 
Test set Size =          23;	Fault Coverage : 0.327373 
Test set Size =          24;	Fault Coverage : 0.327373 
Test set Size =          25;	Fault Coverage : 0.327373 
Test set Size =          26;	Fault Coverage : 0.328748 
Test set Size =          27;	Fault Coverage : 0.328748 
Test set Size =          28;	Fault Coverage : 0.328748 
Test set Size =          29;	Fault Coverage : 0.328748 
Test set Size =          30;	Fault Coverage : 0.328748 
Test set Size =          31;	Fault Coverage : 0.328748 
Test set Size =          32;	Fault Coverage : 0.328748 
Test set Size =          33;	Fault Coverage : 0.328748 
Test set Size =          34;	Fault Coverage : 0.328748 
Test set Size =          35;	Fault Coverage : 0.328748 
Test set Size =          36;	Fault Coverage : 0.328748 
Test set Size =          37;	Fault Coverage : 0.328748 
Test set Size =          38;	Fault Coverage : 0.328748 
Test set Size =          39;	Fault Coverage : 0.328748 
Test set Size =          40;	Fault Coverage : 0.328748 
Test set Size =          41;	Fault Coverage : 0.328748 
Test set Size =          42;	Fault Coverage : 0.328748 
Test set Size =          43;	Fault Coverage : 0.328748 
Test set Size =          44;	Fault Coverage : 0.328748 
Test set Size =          45;	Fault Coverage : 0.328748 
Test set Size =          46;	Fault Coverage : 0.328748 
Test set Size =          47;	Fault Coverage : 0.328748 
Test set Size =          48;	Fault Coverage : 0.328748 
Test set Size =          49;	Fault Coverage : 0.328748 
Test set Size =          50;	Fault Coverage : 0.328748 
Test set Size =          51;	Fault Coverage : 0.328748 
Test set Size =          52;	Fault Coverage : 0.328748 
Test set Size =          53;	Fault Coverage : 0.328748 
Test set Size =          54;	Fault Coverage : 0.328748 
Test set Size =          55;	Fault Coverage : 0.328748 
Test set Size =          56;	Fault Coverage : 0.328748 
Test set Size =          57;	Fault Coverage : 0.328748 
Test set Size =          58;	Fault Coverage : 0.328748 
Test set Size =          59;	Fault Coverage : 0.328748 
Test set Size =          60;	Fault Coverage : 0.328748 
Test set Size =          61;	Fault Coverage : 0.328748 
Test set Size =          62;	Fault Coverage : 0.328748 
Test set Size =          63;	Fault Coverage : 0.328748 
Test set Size =          64;	Fault Coverage : 0.328748 
Test set Size =          65;	Fault Coverage : 0.328748 
Test set Size =          66;	Fault Coverage : 0.328748 
Test set Size =          67;	Fault Coverage : 0.328748 
Test set Size =          68;	Fault Coverage : 0.328748 
Test set Size =          69;	Fault Coverage : 0.328748 
Test set Size =          70;	Fault Coverage : 0.328748 
Test set Size =          71;	Fault Coverage : 0.328748 
Test set Size =          72;	Fault Coverage : 0.328748 
Test set Size =          73;	Fault Coverage : 0.328748 
Test set Size =          74;	Fault Coverage : 0.328748 
Test set Size =          75;	Fault Coverage : 0.328748 
Test set Size =          76;	Fault Coverage : 0.328748 
Test set Size =          77;	Fault Coverage : 0.328748 
Test set Size =          78;	Fault Coverage : 0.328748 
Test set Size =          79;	Fault Coverage : 0.328748 
Test set Size =          80;	Fault Coverage : 0.328748 
Test set Size =          81;	Fault Coverage : 0.328748 
Test set Size =          82;	Fault Coverage : 0.328748 
Test set Size =          83;	Fault Coverage : 0.328748 
Test set Size =          84;	Fault Coverage : 0.328748 
Test set Size =          85;	Fault Coverage : 0.330124 
Test set Size =          86;	Fault Coverage : 0.330124 
Test set Size =          87;	Fault Coverage : 0.330124 
Test set Size =          88;	Fault Coverage : 0.330124 
Test set Size =          89;	Fault Coverage : 0.330124 
Test set Size =          90;	Fault Coverage : 0.330124 
Test set Size =          91;	Fault Coverage : 0.330124 
Test set Size =          92;	Fault Coverage : 0.330124 
Test set Size =          93;	Fault Coverage : 0.330124 
Test set Size =          94;	Fault Coverage : 0.330124 
Test set Size =          95;	Fault Coverage : 0.330124 
Test set Size =          96;	Fault Coverage : 0.330124 
Test set Size =          97;	Fault Coverage : 0.330124 
Test set Size =          98;	Fault Coverage : 0.330124 
Test set Size =          99;	Fault Coverage : 0.330124 
Test set Size =         100;	Fault Coverage : 0.330124 
Test set Size =         101;	Fault Coverage : 0.330124 
Test set Size =         102;	Fault Coverage : 0.330124 
Test set Size =         103;	Fault Coverage : 0.330124 
Test set Size =         104;	Fault Coverage : 0.330124 
Test set Size =         105;	Fault Coverage : 0.330124 
Test set Size =         106;	Fault Coverage : 0.330124 
Test set Size =         107;	Fault Coverage : 0.330124 
Test set Size =         108;	Fault Coverage : 0.330124 
Test set Size =         109;	Fault Coverage : 0.330124 
Test set Size =         110;	Fault Coverage : 0.330124 
Test set Size =         111;	Fault Coverage : 0.330124 
Test set Size =         112;	Fault Coverage : 0.330124 
Test set Size =         113;	Fault Coverage : 0.330124 
Test set Size =         114;	Fault Coverage : 0.330124 
Test set Size =         115;	Fault Coverage : 0.330124 
Test set Size =         116;	Fault Coverage : 0.330124 
Test set Size =         117;	Fault Coverage : 0.330124 
Test set Size =         118;	Fault Coverage : 0.330124 
Test set Size =         119;	Fault Coverage : 0.330124 
Test set Size =         120;	Fault Coverage : 0.330124 
Test set Size =         121;	Fault Coverage : 0.330124 
Test set Size =         122;	Fault Coverage : 0.330124 
Test set Size =         123;	Fault Coverage : 0.330124 
Test set Size =         124;	Fault Coverage : 0.330124 
Test set Size =         125;	Fault Coverage : 0.330124 
Test set Size =         126;	Fault Coverage : 0.330124 
Test set Size =         127;	Fault Coverage : 0.330124 
Test set Size =         128;	Fault Coverage : 0.330124 
Test set Size =         129;	Fault Coverage : 0.330124 
Test set Size =         130;	Fault Coverage : 0.330124 
Test set Size =         131;	Fault Coverage : 0.330124 
Test set Size =         132;	Fault Coverage : 0.330124 
Test set Size =         133;	Fault Coverage : 0.330124 
Test set Size =         134;	Fault Coverage : 0.330124 
Test set Size =         135;	Fault Coverage : 0.330124 
Test set Size =         136;	Fault Coverage : 0.330124 
Test set Size =         137;	Fault Coverage : 0.345254 
Test set Size =         138;	Fault Coverage : 0.345254 
Test set Size =         139;	Fault Coverage : 0.345254 
Test set Size =         140;	Fault Coverage : 0.345254 
Test set Size =         141;	Fault Coverage : 0.345254 
Test set Size =         142;	Fault Coverage : 0.345254 
Test set Size =         143;	Fault Coverage : 0.345254 
Test set Size =         144;	Fault Coverage : 0.345254 
Test set Size =         145;	Fault Coverage : 0.345254 
Test set Size =         146;	Fault Coverage : 0.345254 
Test set Size =         147;	Fault Coverage : 0.345254 
Test set Size =         148;	Fault Coverage : 0.345942 
Test set Size =         149;	Fault Coverage : 0.345942 
Test set Size =         150;	Fault Coverage : 0.345942 
Test set Size =         151;	Fault Coverage : 0.345942 
Test set Size =         152;	Fault Coverage : 0.345942 
Test set Size =         153;	Fault Coverage : 0.345942 
Test set Size =         154;	Fault Coverage : 0.345942 
Test set Size =         155;	Fault Coverage : 0.345942 
Test set Size =         156;	Fault Coverage : 0.345942 
Test set Size =         157;	Fault Coverage : 0.345942 
Test set Size =         158;	Fault Coverage : 0.345942 
Test set Size =         159;	Fault Coverage : 0.345942 
Test set Size =         160;	Fault Coverage : 0.345942 
Test set Size =         161;	Fault Coverage : 0.345942 
Test set Size =         162;	Fault Coverage : 0.345942 
Test set Size =         163;	Fault Coverage : 0.345942 
Test set Size =         164;	Fault Coverage : 0.345942 
Test set Size =         165;	Fault Coverage : 0.345942 
Test set Size =         166;	Fault Coverage : 0.345942 
Test set Size =         167;	Fault Coverage : 0.345942 
Test set Size =         168;	Fault Coverage : 0.345942 
Test set Size =         169;	Fault Coverage : 0.345942 
Test set Size =         170;	Fault Coverage : 0.345942 
Test set Size =         171;	Fault Coverage : 0.345942 
Test set Size =         172;	Fault Coverage : 0.345942 
Test set Size =         173;	Fault Coverage : 0.345942 
Test set Size =         174;	Fault Coverage : 0.345942 
Test set Size =         175;	Fault Coverage : 0.345942 
Test set Size =         176;	Fault Coverage : 0.345942 
Test set Size =         177;	Fault Coverage : 0.345942 
Test set Size =         178;	Fault Coverage : 0.345942 
Test set Size =         179;	Fault Coverage : 0.345942 
Test set Size =         180;	Fault Coverage : 0.345942 
Test set Size =         181;	Fault Coverage : 0.345942 
Test set Size =         182;	Fault Coverage : 0.345942 
Test set Size =         183;	Fault Coverage : 0.345942 
Test set Size =         184;	Fault Coverage : 0.345942 
Test set Size =         185;	Fault Coverage : 0.345942 
